path	old_repo	new_repo	status	message
sovell/Android/5.0/army/zhongyisystemintegration/electronic_menu	sovell-Android-5.0-army-zhongyisystemintegration-electronic_menu	electronic_menu	ok	renamed
sovell/ai-go/face	sovell-ai-go-face	ai-go-face	ok	renamed
sovell/idish3.0/face	sovell-idish3.0-face	idish3.0-face	ok	renamed
sovell/Android/5.0/face_tray	sovell-Android-5.0-face_tray	face_tray	ok	renamed
sovell/document/face-api	sovell-document-face-api	face-api	ok	renamed
sovell/Android/5.0/face-fixed-gateway	sovell-Android-5.0-face-fixed-gateway	face-fixed-gateway	ok	renamed
sovell/Android/5.0/face-register-k2	sovell-Android-5.0-face-register-k2	face-register-k2	ok	renamed
sovell/Android/5.0/face-to-pay	sovell-Android-5.0-face-to-pay	face-to-pay	ok	renamed
sovell/sovell-restaurant/faceimport	sovell-sovell-restaurant-faceimport	faceimport	ok	renamed
sovell/sovell-front-project/food_safe_management	sovell-sovell-front-project-food_safe_management	sovell-front-project-food_safe_management	ok	renamed
sovell/sovell-food-safety/food_safe_management	sovell-sovell-food-safety-food_safe_management	sovell-food-safety-food_safe_management	ok	renamed
sovell/Android/5.0/food_track_inquire	sovell-Android-5.0-food_track_inquire	food_track_inquire	ok	renamed
sovell/Android/5.0/foodadmachine	sovell-Android-5.0-foodadmachine	foodadmachine	ok	renamed
sovell/ai-go/foodsafe	sovell-ai-go-foodsafe	foodsafe	ok	renamed
sovell/Android/5.0/ft1-consume-group	sovell-Android-5.0-ft1-consume-group	ft1-consume-group	ok	renamed
sovell/Android/5.0/ft2-face-pay-group	sovell-Android-5.0-ft2-face-pay-group	ft2-face-pay-group	ok	renamed
sovell/ai-go/gateway	sovell-ai-go-gateway	gateway	ok	renamed
sovell/default/GYL-Platform	sovell-default-GYL-Platform	GYL-Platform	ok	renamed
sovell/Android/5.0/android_web/h5	sovell-Android-5.0-android_web-h5	h5	ok	renamed
sovell/Android/5.0/android_web/h5android	sovell-Android-5.0-android_web-h5android	h5android	ok	renamed
sovell/third_custom/hzfls	sovell-third_custom-hzfls	hzfls	ok	renamed
sovell/document/idish	sovell-document-idish	idish	ok	renamed
sovell/Android/5.0/army/navy/integrated_action	sovell-Android-5.0-army-navy-integrated_action	integrated_action	ok	renamed
sovell/Android/5.0/intelligent-cloud-scale	sovell-Android-5.0-intelligent-cloud-scale	intelligent-cloud-scale	ok	renamed
sovell/Android/5.0/intelligent-cloud-scale_single	sovell-Android-5.0-intelligent-cloud-scale_single	intelligent-cloud-scale_single	ok	renamed
sovell/Android/5.0/intelligent-tray-bind	sovell-Android-5.0-intelligent-tray-bind	intelligent-tray-bind	ok	renamed
sovell/Android/5.0/intelligent-weighing-machine_mini	sovell-Android-5.0-intelligent-weighing-machine_mini	intelligent-weighing-machine_mini	ok	renamed
sovell/Android/5.0/store/inventory-check-terminal	sovell-Android-5.0-store-inventory-check-terminal	inventory-check-terminal	ok	renamed
sovell/third_custom/java-utils	sovell-third_custom-java-utils	java-utils	ok	renamed
sovell/third_custom/jchc	sovell-third_custom-jchc	jchc	ok	renamed
sovell/third_custom/jgsw_ln_gov	sovell-third_custom-jgsw_ln_gov	jgsw_ln_gov	ok	renamed
sovell/third_custom/jnairport	sovell-third_custom-jnairport	jnairport	ok	renamed
sovell/third_custom/jngdjt	sovell-third_custom-jngdjt	jngdjt	ok	renamed
sovell/Android/5.0/ant/k8-orderfood	sovell-Android-5.0-ant-k8-orderfood	k8-orderfood	ok	renamed
sovell/Android/5.0/ant/k8-self-settlement-desk	sovell-Android-5.0-ant-k8-self-settlement-desk	k8-self-settlement-desk	ok	renamed
sovell/Android/5.0/android_web/kitchen-board	sovell-Android-5.0-android_web-kitchen-board	kitchen-board	ok	renamed
sovell/mart/mart	sovell-mart-mart	mart	ok	renamed
sovell/Android/5.0/army/zhongyisystemintegration/meal_line_back	sovell-Android-5.0-army-zhongyisystemintegration-meal_line_back	meal_line_back	ok	renamed
sovell/Android/5.0/army/zhongyisystemintegration/meal_line_front	sovell-Android-5.0-army-zhongyisystemintegration-meal_line_front	meal_line_front	ok	renamed
sovell/ai-go/medical	sovell-ai-go-medical	medical	ok	renamed
sovell/ai-go/medical-treatment	sovell-ai-go-medical-treatment	medical-treatment	ok	renamed
sovell/third_custom/mingyanggroup	sovell-third_custom-mingyanggroup	mingyanggroup	ok	renamed
sovell/idish3.0/mobile	sovell-idish3.0-mobile	mobile	ok	renamed
sovell/ai-go/navi	sovell-ai-go-navi	navi	ok	renamed
sovell/document/open-doc	sovell-document-open-doc	open-doc	ok	renamed
sovell/ai-go/order	sovell-ai-go-order	order	ok	renamed
sovell/Android/5.0/store/order_taking_machine	sovell-Android-5.0-store-order_taking_machine	order_taking_machine	ok	renamed
sovell/idish3.0/partner_api	sovell-idish3.0-partner_api	partner_api	ok	renamed
sovell/sovell-restaurant/pc-table	sovell-sovell-restaurant-pc-table	pc-table	ok	renamed
sovell/ai-go/pkg	sovell-ai-go-pkg	pkg	ok	renamed
sovell/ai-go/platform	sovell-ai-go-platform	platform	ok	renamed
sovell/sovell-chaos/plume-log-server	sovell-sovell-chaos-plume-log-server	plume-log-server	ok	renamed
sovell/ai-go/printer	sovell-ai-go-printer	printer	ok	renamed
sovell/Android/5.0/production-console	sovell-Android-5.0-production-console	production-console	ok	renamed
sovell/proto/publish	sovell-proto-publish	publish	ok	renamed
sovell/default/qinghai-guoyi	sovell-default-qinghai-guoyi	qinghai-guoyi	ok	renamed
sovell/default/qinghai-platform	sovell-default-qinghai-platform	qinghai-platform	ok	renamed
sovell/Android/5.0/receiving_carousel	sovell-Android-5.0-receiving_carousel	receiving_carousel	ok	renamed
sovell/ai-go/report	sovell-ai-go-report	report	ok	renamed
sovell/sovell-restaurant/restaurant-applet	sovell-sovell-restaurant-restaurant-applet	restaurant-applet	ok	renamed
sovell/sovell-restaurant/restaurant-h5-applet	sovell-sovell-restaurant-restaurant-h5-applet	restaurant-h5-applet	ok	renamed
sovell/ai-go/retail	sovell-ai-go-retail	retail	ok	renamed
sovell/Android/5.0/retail-cabinet	sovell-Android-5.0-retail-cabinet	retail-cabinet	ok	renamed
sovell/Android/5.0/rfid_pmcard	sovell-Android-5.0-rfid_pmcard	rfid_pmcard	ok	renamed
sovell/Android/5.0/store/rice-noodle-cabinet	sovell-Android-5.0-store-rice-noodle-cabinet	rice-noodle-cabinet	ok	renamed
sovell/ai-go/riea-code	sovell-ai-go-riea-code	riea-code	ok	renamed
sovell/third_custom/sdcj	sovell-third_custom-sdcj	sdcj	ok	renamed
sovell/Android/5.0/self-cashier	sovell-Android-5.0-self-cashier	self-cashier	ok	renamed
sovell/Android/5.0/self-multimedia-k2	sovell-Android-5.0-self-multimedia-k2	self-multimedia-k2	ok	renamed
sovell/Android/5.0/self-service-cashier-desk	sovell-Android-5.0-self-service-cashier-desk	self-service-cashier-desk	ok	renamed
sovell/Android/5.0/army/zhongyisystemintegration/selfweighing	sovell-Android-5.0-army-zhongyisystemintegration-selfweighing	selfweighing	ok	renamed
sovell/Android/5.0/settlement-console	sovell-Android-5.0-settlement-console	settlement-console	ok	renamed
sovell/atlantis/smart-doc	sovell-atlantis-smart-doc	smart-doc	ok	renamed
sovell/Android/5.0/soevll_thumb_dots	sovell-Android-5.0-soevll_thumb_dots	soevll_thumb_dots	ok	renamed
sovell/Android/5.0/SDK/sovell_hwbridge_aar	sovell-Android-5.0-SDK-sovell_hwbridge_aar	sovell_hwbridge_aar	ok	renamed
sovell/Android/5.0/sovell_printer_server	sovell-Android-5.0-sovell_printer_server	sovell_printer_server	ok	renamed
sovell/Android/5.0/store/sovell_weight_cabinet	sovell-Android-5.0-store-sovell_weight_cabinet	sovell_weight_cabinet	ok	renamed
sovell/unified_welfare/sovell_welfare_applet	sovell-unified_welfare-sovell_welfare_applet	sovell_welfare_applet	ok	renamed
sovell/unified_welfare/sovell_welfare_devops_manager	sovell-unified_welfare-sovell_welfare_devops_manager	sovell_welfare_devops_manager	ok	renamed
sovell/unified_welfare/sovell_welfare_enterprise_manager	sovell-unified_welfare-sovell_welfare_enterprise_manager	sovell_welfare_enterprise_manager	ok	renamed
sovell/unified_welfare/sovell_welfare_miniprogram	sovell-unified_welfare-sovell_welfare_miniprogram	sovell_welfare_miniprogram	ok	renamed
sovell/unified_welfare/sovell_welfare_miniprogram_middleware	sovell-unified_welfare-sovell_welfare_miniprogram_middleware	sovell_welfare_miniprogram_middleware	ok	renamed
sovell/unified_welfare/sovell_welfare_service_docking	sovell-unified_welfare-sovell_welfare_service_docking	sovell_welfare_service_docking	ok	renamed
sovell/unified_welfare/sovell_welfare_service_manager	sovell-unified_welfare-sovell_welfare_service_manager	sovell_welfare_service_manager	ok	renamed
sovell/sovell-arrage/sovell-arrage	sovell-sovell-arrage-sovell-arrage	sovell-arrage	ok	renamed
sovell/sovell-arrage/sovell-arrage-api	sovell-sovell-arrage-sovell-arrage-api	sovell-arrage-api	ok	renamed
sovell/sovell-front-project/sovell-arrage-platform	sovell-sovell-front-project-sovell-arrage-platform	sovell-front-project-sovell-arrage-platform	ok	renamed
sovell/sovell-arrage/sovell-arrage-platform	sovell-sovell-arrage-sovell-arrage-platform	sovell-arrage-sovell-arrage-platform	ok	renamed
sovell/atlantis/sovell-artemis	sovell-atlantis-sovell-artemis	sovell-artemis	ok	renamed
sovell/atlantis/sovell-athena	sovell-atlantis-sovell-athena	sovell-athena	ok	renamed
sovell/atlantis/sovell-athena-management-admin	sovell-atlantis-sovell-athena-management-admin	sovell-athena-management-admin	ok	renamed
sovell/atlantis/sovell-atlantis	sovell-atlantis-sovell-atlantis	atlantis-sovell-atlantis	ok	renamed
sovell/document/sovell-atlantis	sovell-document-sovell-atlantis	document-sovell-atlantis	ok	renamed
sovell/atlantis/sovell-atlantis-api-devops	sovell-atlantis-sovell-atlantis-api-devops	sovell-atlantis-api-devops	ok	renamed
sovell/atlantis/sovell-atlantis-api-devops-clientapi	sovell-atlantis-sovell-atlantis-api-devops-clientapi	sovell-atlantis-api-devops-clientapi	ok	renamed
sovell/atlantis/sovell-atlantis-api-devops-device	sovell-atlantis-sovell-atlantis-api-devops-device	sovell-atlantis-api-devops-device	ok	renamed
sovell/atlantis/sovell-atlantis-api-devops-openapi	sovell-atlantis-sovell-atlantis-api-devops-openapi	sovell-atlantis-api-devops-openapi	ok	renamed
sovell/atlantis/sovell-atlantis-api-home	sovell-atlantis-sovell-atlantis-api-home	sovell-atlantis-api-home	ok	renamed
sovell/atlantis/sovell-atlantis-api-login	sovell-atlantis-sovell-atlantis-api-login	sovell-atlantis-api-login	ok	renamed
sovell/atlantis/sovell-atlantis-api-restaurant	sovell-atlantis-sovell-atlantis-api-restaurant	sovell-atlantis-api-restaurant	ok	renamed
sovell/atlantis/sovell-atlantis-api-screen	sovell-atlantis-sovell-atlantis-api-screen	sovell-atlantis-api-screen	ok	renamed
sovell/atlantis/sovell-atlantis-cloud	sovell-atlantis-sovell-atlantis-cloud	sovell-atlantis-cloud	ok	renamed
sovell/atlantis/sovell-atlantis-core-printer	sovell-atlantis-sovell-atlantis-core-printer	sovell-atlantis-core-printer	ok	renamed
sovell/atlantis/sovell-atlantis-document	sovell-atlantis-sovell-atlantis-document	sovell-atlantis-document	ok	renamed
sovell/atlantis/sovell-atlantis-front-project	sovell-atlantis-sovell-atlantis-front-project	sovell-atlantis-front-project	ok	renamed
sovell/atlantis/sovell-atlantis-gateway	sovell-atlantis-sovell-atlantis-gateway	sovell-atlantis-gateway	ok	renamed
sovell/atlantis/sovell-atlantis-management-devops	sovell-atlantis-sovell-atlantis-management-devops	atlantis-sovell-atlantis-management-devops	ok	renamed
sovell/sovell-front-project/sovell-atlantis-management-devops	sovell-sovell-front-project-sovell-atlantis-management-devops	sovell-front-project-sovell-atlantis-management-devops	ok	renamed
sovell/sovell-front-project/sovell-atlantis-management-login	sovell-sovell-front-project-sovell-atlantis-management-login	sovell-front-project-sovell-atlantis-management-login	ok	renamed
sovell/atlantis/sovell-atlantis-management-login	sovell-atlantis-sovell-atlantis-management-login	atlantis-sovell-atlantis-management-login	ok	renamed
sovell/atlantis/sovell-atlantis-management-screen	sovell-atlantis-sovell-atlantis-management-screen	sovell-atlantis-management-screen	ok	renamed
sovell/atlantis/sovell-atlantis-service-core	sovell-atlantis-sovell-atlantis-service-core	sovell-atlantis-service-core	ok	renamed
sovell/atlantis/sovell-atlantis-service-devops	sovell-atlantis-sovell-atlantis-service-devops	sovell-atlantis-service-devops	ok	renamed
sovell/atlantis/sovell-atlas	sovell-atlantis-sovell-atlas	sovell-atlas	ok	renamed
sovell/atlantis/sovell-atlas-management-merchant	sovell-atlantis-sovell-atlas-management-merchant	sovell-atlas-management-merchant	ok	renamed
sovell/sovell-chaos/sovell-chaos	sovell-sovell-chaos-sovell-chaos	sovell-chaos	ok	renamed
sovell/sovell-chaos/sovell-chaos-upms	sovell-sovell-chaos-sovell-chaos-upms	sovell-chaos-upms	ok	renamed
sovell/sovell-chaos/sovell-chaos-warehouse	sovell-sovell-chaos-sovell-chaos-warehouse	sovell-chaos-warehouse	ok	renamed
sovell/sovell-collect/sovell-collect-front/sovell-collect-admin-manager	sovell-sovell-collect-sovell-collect-front-sovell-collect-admin-manager	sovell-collect-admin-manager	ok	renamed
sovell/sovell-collect/sovell-collect-front/sovell-collect-admin-sort-pda	sovell-sovell-collect-sovell-collect-front-sovell-collect-admin-sort-pda	sovell-collect-admin-sort-pda	ok	renamed
sovell/sovell-collect/sovell-collect-android/sovell-collect-android-mobile	sovell-sovell-collect-sovell-collect-android-sovell-collect-android-mobile	sovell-collect-android-mobile	ok	renamed
sovell/sovell-collect/sovell-collect-android/sovell-collect-android-pda	sovell-sovell-collect-sovell-collect-android-sovell-collect-android-pda	sovell-collect-android-pda	ok	renamed
sovell/sovell-collect/sovell-collect-api	sovell-sovell-collect-sovell-collect-api	sovell-collect-api	ok	renamed
sovell/sovell-collect/sovell-collect-backend/sovell-collect-common	sovell-sovell-collect-sovell-collect-backend-sovell-collect-common	sovell-collect-common	ok	renamed
sovell/sovell-collect/sovell-collect-backend/sovell-collect-data-service	sovell-sovell-collect-sovell-collect-backend-sovell-collect-data-service	sovell-collect-data-service	ok	renamed
sovell/sovell-collect/sovell-collect-front/sovell-collect-delivery-pda	sovell-sovell-collect-sovell-collect-front-sovell-collect-delivery-pda	sovell-collect-delivery-pda	ok	renamed
sovell/sovell-collect/sovell-collect-backend/sovell-collect-dependencies	sovell-sovell-collect-sovell-collect-backend-sovell-collect-dependencies	sovell-collect-dependencies	ok	renamed
sovell/sovell-collect/sovell-collect-backend/sovell-collect-gateway	sovell-sovell-collect-sovell-collect-backend-sovell-collect-gateway	sovell-collect-gateway	ok	renamed
sovell/sovell-collect/sovell-collect-backend/sovell-collect-old	sovell-sovell-collect-sovell-collect-backend-sovell-collect-old	sovell-collect-old	ok	renamed
sovell/sovell-collect/sovell-collect-backend/sovell-collect-product	sovell-sovell-collect-sovell-collect-backend-sovell-collect-product	sovell-collect-product	ok	renamed
sovell/sovell-collect/sovell-collect-backend/sovell-collect-purchase	sovell-sovell-collect-sovell-collect-backend-sovell-collect-purchase	sovell-collect-purchase	ok	renamed
sovell/sovell-collect/sovell-collect-front/sovell-collect-purchase-pda	sovell-sovell-collect-sovell-collect-front-sovell-collect-purchase-pda	sovell-collect-purchase-pda	ok	renamed
sovell/sovell-collect/sovell-collect-service-core	sovell-sovell-collect-sovell-collect-service-core	sovell-collect-service-core	ok	renamed
sovell/sovell-collect/sovell-collect-front/sovell-collect-supplier-manager	sovell-sovell-collect-sovell-collect-front-sovell-collect-supplier-manager	sovell-collect-supplier-manager	ok	renamed
sovell/sovell-collect/sovell-collect-front/sovell-collect-supplier-pda	sovell-sovell-collect-sovell-collect-front-sovell-collect-supplier-pda	sovell-collect-supplier-pda	ok	renamed
sovell/sovell-collect/sovell-collect-backend/sovell-collect-user	sovell-sovell-collect-sovell-collect-backend-sovell-collect-user	sovell-collect-user	ok	renamed
sovell/sovell-collect/sovell-collect-backend/sovell-collect-wms	sovell-sovell-collect-sovell-collect-backend-sovell-collect-wms	sovell-collect-wms	ok	renamed
sovell/third_custom/sovell-custom-manager	sovell-third_custom-sovell-custom-manager	sovell-custom-manager	ok	renamed
sovell/third_custom/sovell-customer-api	sovell-third_custom-sovell-customer-api	sovell-customer-api	ok	renamed
sovell/third_custom/sovell-customer-core	sovell-third_custom-sovell-customer-core	sovell-customer-core	ok	renamed
sovell/data-center/sovell-data-center-api	sovell-data-center-sovell-data-center-api	sovell-data-center-api	ok	renamed
sovell/sovell-restaurant/sovell-data-center-core	sovell-sovell-restaurant-sovell-data-center-core	sovell-data-center-core	ok	renamed
sovell/data-center/sovell-data-center-service	sovell-data-center-sovell-data-center-service	sovell-data-center-service	ok	renamed
sovell/Android/5.0/android_web/sovell-data-promulgation	sovell-Android-5.0-android_web-sovell-data-promulgation	sovell-data-promulgation	ok	renamed
sovell/intell-menu/sovell-demeter	sovell-intell-menu-sovell-demeter	sovell-demeter	ok	renamed
sovell/intell-menu/sovell-demeter-api-center	sovell-intell-menu-sovell-demeter-api-center	sovell-demeter-api-center	ok	renamed
sovell/intell-menu/sovell-demeter-api-merchant	sovell-intell-menu-sovell-demeter-api-merchant	sovell-demeter-api-merchant	ok	renamed
sovell/intell-menu/sovell-demeter-api-merge	sovell-intell-menu-sovell-demeter-api-merge	sovell-demeter-api-merge	ok	renamed
sovell/intell-menu/sovell-demeter-api-supplier	sovell-intell-menu-sovell-demeter-api-supplier	sovell-demeter-api-supplier	ok	renamed
sovell/intell-menu/sovell-demeter-docking-service	sovell-intell-menu-sovell-demeter-docking-service	sovell-demeter-docking-service	ok	renamed
sovell/intell-menu/sovell-demeter-management-center	sovell-intell-menu-sovell-demeter-management-center	sovell-demeter-management-center	ok	renamed
sovell/intell-menu/sovell-demeter-management-merchant	sovell-intell-menu-sovell-demeter-management-merchant	sovell-demeter-management-merchant	ok	renamed
sovell/sovell-front-project/sovell-demeter-management-merge	sovell-sovell-front-project-sovell-demeter-management-merge	sovell-front-project-sovell-demeter-management-merge	ok	renamed
sovell/intell-menu/sovell-demeter-management-merge	sovell-intell-menu-sovell-demeter-management-merge	intell-menu-sovell-demeter-management-merge	ok	renamed
sovell/intell-menu/sovell-demeter-management-supplier	sovell-intell-menu-sovell-demeter-management-supplier	sovell-demeter-management-supplier	ok	renamed
sovell/intell-menu/sovell-demeter-openapi	sovell-intell-menu-sovell-demeter-openapi	sovell-demeter-openapi	ok	renamed
sovell/document/sovell-discovery	sovell-document-sovell-discovery	sovell-discovery	ok	renamed
sovell/sovell-restaurant/sovell-donet-core	sovell-sovell-restaurant-sovell-donet-core	sovell-donet-core	ok	renamed
sovell/document/sovell-endeavour	sovell-document-sovell-endeavour	sovell-endeavour	ok	renamed
sovell/document/sovell-explorer	sovell-document-sovell-explorer	sovell-explorer	ok	renamed
sovell/sovell-restaurant/sovell-face	sovell-sovell-restaurant-sovell-face	sovell-face	ok	renamed
sovell/Android/5.0/SDK/sovell-face-aar	sovell-Android-5.0-SDK-sovell-face-aar	sovell-face-aar	ok	renamed
sovell/sovell-food-safety/sovell-food-safety-api	sovell-sovell-food-safety-sovell-food-safety-api	sovell-food-safety-api	ok	renamed
sovell/sovell-food-safety/sovell-food-safety-core	sovell-sovell-food-safety-sovell-food-safety-core	sovell-food-safety-core	ok	renamed
sovell/ai-go/sovell-front-project	sovell-ai-go-sovell-front-project	sovell-front-project	ok	renamed
sovell/sovell-restaurant/sovell-information-api-center	sovell-sovell-restaurant-sovell-information-api-center	sovell-information-api-center	ok	renamed
sovell/sovell-restaurant/sovell-information-service-core	sovell-sovell-restaurant-sovell-information-service-core	sovell-information-service-core	ok	renamed
sovell/atlantis/sovell-iot-device	sovell-atlantis-sovell-iot-device	sovell-iot-device	ok	renamed
sovell/Android/5.0/android_web/sovell-move-board	sovell-Android-5.0-android_web-sovell-move-board	sovell-move-board	ok	renamed
sovell/document/sovell-navi	sovell-document-sovell-navi	document-sovell-navi	ok	renamed
sovell/Navi/sovell-navi	sovell-Navi-sovell-navi	Navi-sovell-navi	ok	renamed
sovell/Navi/sovell-navi-alipay-core	sovell-Navi-sovell-navi-alipay-core	sovell-navi-alipay-core	ok	renamed
sovell/Navi/sovell-navi-api-center	sovell-Navi-sovell-navi-api-center	sovell-navi-api-center	ok	renamed
sovell/Navi/sovell-navi-api-clientapi	sovell-Navi-sovell-navi-api-clientapi	sovell-navi-api-clientapi	ok	renamed
sovell/Navi/sovell-navi-api-devops	sovell-Navi-sovell-navi-api-devops	sovell-navi-api-devops	ok	renamed
sovell/Navi/sovell-navi-api-enterprise	sovell-Navi-sovell-navi-api-enterprise	sovell-navi-api-enterprise	ok	renamed
sovell/Navi/sovell-navi-api-openapi	sovell-Navi-sovell-navi-api-openapi	sovell-navi-api-openapi	ok	renamed
sovell/Navi/sovell-navi-client-portal	sovell-Navi-sovell-navi-client-portal	sovell-navi-client-portal	ok	renamed
sovell/Navi/sovell-navi-management-admin	sovell-Navi-sovell-navi-management-admin	sovell-navi-management-admin	ok	renamed
sovell/Navi/sovell-navi-management-admin-v2	sovell-Navi-sovell-navi-management-admin-v2	sovell-navi-management-admin-v2	ok	renamed
sovell/Navi/sovell-navi-management-center	sovell-Navi-sovell-navi-management-center	sovell-navi-management-center	ok	renamed
sovell/Navi/sovell-navi-management-center-v2	sovell-Navi-sovell-navi-management-center-v2	sovell-navi-management-center-v2	ok	renamed
sovell/Navi/sovell-navi-management-center-v3	sovell-Navi-sovell-navi-management-center-v3	Navi-sovell-navi-management-center-v3	ok	renamed
sovell/sovell-front-project/sovell-navi-management-center-v3	sovell-sovell-front-project-sovell-navi-management-center-v3	sovell-front-project-sovell-navi-management-center-v3	ok	renamed
sovell/Navi/sovell-navi-management-center-v4	sovell-Navi-sovell-navi-management-center-v4	sovell-navi-management-center-v4	ok	renamed
sovell/Navi/sovell-navi-management-enterprise-v2	sovell-Navi-sovell-navi-management-enterprise-v2	sovell-navi-management-enterprise-v2	ok	renamed
sovell/Navi/sovell-navi-management-enterprise-v3	sovell-Navi-sovell-navi-management-enterprise-v3	Navi-sovell-navi-management-enterprise-v3	ok	renamed
sovell/sovell-front-project/sovell-navi-management-enterprise-v3	sovell-sovell-front-project-sovell-navi-management-enterprise-v3	sovell-front-project-sovell-navi-management-enterprise-v3	ok	renamed
sovell/Navi/sovell-navi-management-enterprise-v4	sovell-Navi-sovell-navi-management-enterprise-v4	sovell-navi-management-enterprise-v4	ok	renamed
sovell/sovell-front-project/sovell-navi-publish-broadcast	sovell-sovell-front-project-sovell-navi-publish-broadcast	sovell-front-project-sovell-navi-publish-broadcast	ok	renamed
sovell/Navi/sovell-navi-publish-broadcast	sovell-Navi-sovell-navi-publish-broadcast	Navi-sovell-navi-publish-broadcast	ok	renamed
sovell/Navi/sovell-navi-service-core	sovell-Navi-sovell-navi-service-core	sovell-navi-service-core	ok	renamed
sovell/Navi/sovell-navi-v2	sovell-Navi-sovell-navi-v2	sovell-navi-v2	ok	renamed
sovell/Navi/sovell-navi-v3	sovell-Navi-sovell-navi-v3	sovell-navi-v3	ok	renamed
sovell/Navi/sovell-navi-welfare-sync	sovell-Navi-sovell-navi-welfare-sync	sovell-navi-welfare-sync	ok	renamed
sovell/Navi/sovell-navi-wx-app	sovell-Navi-sovell-navi-wx-app	sovell-navi-wx-app	ok	renamed
sovell/Android/5.0/sovell-orders-board	sovell-Android-5.0-sovell-orders-board	sovell-orders-board	ok	renamed
sovell/third_custom/sovell-policy-core	sovell-third_custom-sovell-policy-core	sovell-policy-core	ok	renamed
sovell/Android/5.0/sovell-printer	sovell-Android-5.0-sovell-printer	sovell-printer	ok	renamed
sovell/intell-menu/sovell-procurement-mobile	sovell-intell-menu-sovell-procurement-mobile	sovell-procurement-mobile	ok	renamed
sovell/jiaoyusheng/sovell-push	sovell-jiaoyusheng-sovell-push	sovell-push	ok	renamed
sovell/sovell-restaurant/sovell-restaurant-base-core	sovell-sovell-restaurant-sovell-restaurant-base-core	sovell-restaurant-base-core	ok	renamed
